Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Inductor with Ferrite Core,L_Core_Ferrite,2u2 2u401 2u402,L_Core_Ferrite,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,3,
2,Unpolarized capacitor,C,C101 C102 C103 C104 C105 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C117 C118 C119 C120 C121 C122 C123 C124 C125 C126 C201 C210 C211 C212 C213,100n,C_0603,31,
3,Unpolarized capacitor,C,C401 C402 C403 C404 C405 C406 C504 C506,10u 6.3V,C_0805,8,
4,Unpolarized capacitor,C,C503,1u,C_0603,1,
5,Unpolarized capacitor,C,C206 C209,220p,C_0603,2,
6,Unpolarized capacitor,C,C204 C205 C207 C208,22p,C_0805,4,
7,Unpolarized capacitor,C,C202 C203,47n 350V,C_1206,2,
8,Dual diode,D_x2_Serial_AKC,D203 D204,BAR64-04,SOT-23,2,
9,Zener Diode,D_Zener,D201 D202 D205 D206,BZX84C3V6LT1G,D_SOT-23_ANK,4,https://en.wikipedia.org/wiki/Zener_diode
10,"Dual diode, common anode",D_x2_ACom_KKA,D302 D303 D304 D305 D306 D307 D308,D_x2_ACom_KKA,SOT-23,7,
11,LED generic,LED,D401 D402 D403 D404 D405 D406 D407 D408 D409 D410 D411 D412 D413 D414 D415 D416 D417,SML-D12Y1WT86,LED_0603,17,
12,Spark Gap,SPARK_GAP,E101 E102,SPARK_GAP,B88069X4911T902,2,
13,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x05_Odd_Even,J105,Conn_02x05_Odd_Even,Pin_Header_Straight_2x05_Pitch2.54mm,1,
14,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",Conn_Coaxial,J101 J102,Conn_Coaxial,BNC-5-1634503-1,2,
15,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",Conn_Coaxial,J103,Conn_Coaxial,SMA_THT_Jack_Straight,1,
16,3-pin jumper/solder bridge,GS3,J106 J107 J108,GS3,GS3,3,
17,"Generic screw terminal, single row, 01x02",Screw_Terminal_01x02,J104,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,1,
18,Miniature Signal Relays,EE2-*TNU,K201 K202 K203 K204,EE2-*TNU,Relay_DPDT_DCLT,4,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf
19,Transistor PNP (general),ZXTP2006E6,Q401 Q402 Q403 Q404 Q405 Q406 Q407 Q408,ZXTP2006E6,SOT-23-6,8,
20,Resistor,R,R110 R111,100,R_0402,2,
21,Resistor,R,R212 R213 R215 R216 R229 R230 R233 R234,10k,R_0603,8,
22,Resistor,R,R227 R228 R435 R436 R437 R438 R439 R440 R441 R442,150,R_0805,10,
23,Resistor,R,R401 R402 R403 R404 R405 R406 R407 R408 R409 R410 R411 R412 R413 R414 R415 R416 R417 R418 R419 R420 R421 R422 R423 R424 R425 R426 R427 R428 R429 R430 R431 R432 R433 R434,18,R_0805,34,
24,Resistor,R,R105 R107 R108 R109,1k,R_0603,4,
25,Resistor,R,R101 R102 R103 R104 R201 R202 R203 R204 R205 R206 R207 R208,200,R_1206,12,
26,Resistor,R,R211 R214 R217 R218,20k,R_0603,4,
27,Resistor,R,R231 R232,22k,R_0603,2,
28,Resistor,R,R220 R224,390k,R_1206,2,
29,Resistor,R,R221 R222 R225 R226,50k,R_1206,4,
30,Resistor,R,R219 R223,510k,R_1206,2,
31,Resistor,R,R106,5k,R_0603,1,
32,Resistor,R,R209 R210,680,R_0603,2,
33,Resistor,R,R235 R236 R237 R238,82,R_0603,4,
34,"Push button switch, generic, two pins",SW_Push,SW302 SW303 SW304 SW306 SW307 SW308 SW309 SW310 SW311 SW312 SW313 SW314 SW315 SW316,SW_Push,SW_PUSH_6mm,14,
35,,10CL006ZE144I8G,U102,10CL006ZE144I8G,EQFP-144_20x20mm_Pitch0.5mm,1,
36,Single digit 16 segment yellow LED common anode right hand decimal,16Segment,U401 U402 U405 U406 U407 U408 U411 U412 U413 U416 U417 U418,16Segment,16Segment,12,
37,,LH1546,U203 U204,LH1546,SO-4_7.6x3.6mm_Pitch2.54mm,2,
38,"Switched capacitor inverter, inverts positive voltage +2.7 to +5.5V to negative, 200 mA, SOT-23-6",LM2776,U502,LM2776,SOT-23-6,1,http://www.ti.com/lit/ds/symlink/lm2776.pdf
39,Dual 700 ps High Speed Comparator with RSPECL Outputs,LMH7322,U206,LMH7322,QFN-24-1EP_4x4mm_Pitch0.5mm,1,
40,"High Voltage, High Current Darlington Transistor Arrays",MC1413,U205 U207 U403 U404 U409 U410 U414 U415,MC1413,SOIC-16_3.9x9.9mm_Pitch1.27mm,8,http://www.onsemi.com/pub_link/Collateral/MC1413-D.PDF
41,"Dual 8-bit Digital to Analog Converter, I2c Interface",MCP47FEBXX,U201,MCP47FEB02,TSSOP-8_4.4x3mm_Pitch0.65mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/20005375A.pdf
42,,SC183C,U419 U420 U421,SC183C,QFN-16-1EP_3x3mm_Pitch0.5mm,3,
43,,STM32_BLUEPILL,U101,STM32_BLUEPILL,DIP-40_W15.24mm,1,
44,"Dual Opamp, SOIC-8/DIP-8/SSOP-8/TO-99",Opamp_Dual_Generic,U202,TL972,TSSOP-8_3x3mm_Pitch0.65mm,1,





Component Groups:,44
Component Count:,239
Fitted Components:,239
Number of PCBs:,1
Total components:,239
Schematic Version:,
Schematic Date:,
BoM Date:,2018-02-04 23:40:10
Schematic Source:,D:\Dropbox\counter_kicad\counter\counter.sch
KiCad Version:,Eeschema (2018-02-03 revision 9c2230355)-makepkg
